conversation_id,agent_name,agent_domain,department_industry,query_type,conversation_date,resolution_time_sec,resolution_status,escalated,customer_satisfaction,tokens_used,cost_per_conversation_usd,response_consistency_score,repetitive_response_flag
CONV005260,SupportBot-v4,Customer Support,Manufacturing,Refund Request,2025-01-01 00:10:00,128.0,Resolved,No,4.7,700,0.0467,93.6,No
CONV005180,KnowledgeFinder-Lite,Internal Knowledge Search,Banking,Document Search,2025-01-01 00:12:00,119.7,Resolved,No,3.3,264,0.024,84.3,No
CONV007485,KnowledgeFinder-Lite,Internal Knowledge Search,Retail,Policy Lookup,2025-01-01 00:21:00,149.0,Resolved,No,3.0,231,0.0223,70.9,No
CONV009292,SupportBot-v3,Customer Support,Telecom,Refund Request,2025-01-01 00:35:00,143.0,Resolved,No,4.0,957,0.0552,84.2,No
CONV002315,SupportBot-v3,Customer Support,Banking,Refund Request,2025-01-01 00:39:00,69.9,Resolved,No,4.2,256,0.0287,85.8,No
CONV004813,SalesAssist-Pro,Sales Assistance,Manufacturing,Pricing Question,2025-01-01 01:19:00,39.0,Resolved,No,4.7,892,0.041,88.3,No
CONV007051,SupportBot-v4,Customer Support,Telecom,Product Complaint,2025-01-01 02:00:00,47.1,Resolved,No,4.3,555,0.0271,91.3,No
CONV009005,SalesAssist-Pro,Sales Assistance,Manufacturing,Pricing Question,2025-01-01 02:36:00,107.1,Resolved,No,4.8,233,0.0311,85.6,No
CONV002998,KnowledgeFinder-Lite,Internal Knowledge Search,Banking,Process Question,2025-01-01 02:42:00,102.6,Resolved,No,3.8,533,0.0344,75.3,No
CONV005601,KnowledgeFinder-Lite,Internal Knowledge Search,Banking,Document Search,2025-01-01 03:54:00,147.1,Resolved,No,3.2,555,0.0319,90.3,No
CONV003131,HRQueryBot,HR Queries,Retail,Payroll Question,2025-01-01 04:01:00,81.7,Resolved,No,4.2,155,0.0147,97.8,No
CONV005615,HR-FAQ-Agent,HR Queries,Healthcare,Leave Balance,2025-01-01 05:10:00,40.1,Escalated,Yes,3.5,389,0.0372,89.7,No
CONV007265,IT-Legacy-Bot,IT Helpdesk,Healthcare,Password Reset,2025-01-01 08:18:00,53.3,Resolved,No,3.5,718,0.0508,67.6,No
CONV006031,SalesAssist-Pro,Sales Assistance,Banking,Pricing Question,2025-01-01 08:48:00,83.5,Resolved,No,4.8,82,0.018,89.9,No
CONV000070,HR-FAQ-Agent,HR Queries,E-commerce,Payroll Question,2025-01-01 09:18:00,120.8,Resolved,No,4.8,844,0.049,80.3,No
CONV006842,KnowledgeFinder-Lite,Internal Knowledge Search,E-commerce,Document Search,2025-01-01 13:04:00,221.2,Resolved,No,3.9,445,0.0363,82.9,No
CONV002550,OmniAssist-2,Customer Support,EdTech,Product Complaint,2025-01-01 15:12:00,157.4,Resolved,No,4.0,589,0.0383,90.1,No
CONV007059,HR-FAQ-Agent,HR Queries,Healthcare,Benefits Query,2025-01-01 15:45:00,111.6,Resolved,No,3.5,202,0.0294,89.5,No
CONV009979,SalesAssist-Lite,Sales Assistance,Logistics,Product Recommendation,2025-01-01 16:42:00,57.0,Resolved,No,2.5,646,0.0426,83.3,No
CONV009686,HRQueryBot,HR Queries,E-commerce,Leave Balance,2025-01-01 16:48:00,97.9,Resolved,No,4.4,237,0.033,90.8,Yes
CONV007428,SalesAssist-Pro,Sales Assistance,EdTech,Product Recommendation,2025-01-01 18:33:00,43.5,Resolved,No,4.0,217,0.027,84.3,Yes
CONV002973,OmniAssist-2,Customer Support,Banking,Order Issue,2025-01-01 19:11:00,63.6,Resolved,No,4.5,929,0.0462,79.7,No
CONV008258,SalesAssist-Lite,Sales Assistance,Logistics,Upsell Opportunity,2025-01-01 19:44:00,196.2,Resolved,No,3.0,621,0.0343,86.1,No
CONV001021,SalesAssist-Pro,Sales Assistance,Logistics,Discount Inquiry,2025-01-01 20:04:00,32.8,Resolved,No,5.0,302,0.0313,83.7,No
CONV009420,SalesAssist-Pro,Sales Assistance,Logistics,Pricing Question,2025-01-01 20:28:00,123.6,Escalated,Yes,3.4,821,0.0402,95.7,No
CONV007597,SupportBot-v4,Customer Support,Retail,Product Complaint,2025-01-01 20:29:00,188.2,Resolved,No,4.7,180,0.0321,90.5,No
CONV008747,KnowledgeFinder-Lite,Internal Knowledge Search,Logistics,Process Question,2025-01-01 20:35:00,54.0,Resolved,No,4.1,428,0.0272,83.2,No
CONV000524,KnowledgeFinder-X,Internal Knowledge Search,Healthcare,Process Question,2025-01-01 22:36:00,203.7,Resolved,No,4.2,403,0.0375,89.4,No
